Job Family,Skill Family,Core Skill,Sub Skill,Placeholder for tools
Hybrid and Multicloud,Server & Platform,Intel interfaced Direct and Modular attached storage,"Dell, HP, IBM",
Hybrid and Multicloud,Server & Platform,Oracle Sparc,,
Hybrid and Multicloud,Server & Platform,Server Hardware Management,Computer Server Equipment,
Hybrid and Multicloud,Server & Platform,Server Hardware Management,Computer Server  ,
Hybrid and Multicloud,Server & Platform,AIX LPAR/ VPAR/ WPAR,,
Hybrid and Multicloud,Server & Platform,HP Ignite,,
Hybrid and Multicloud,Server & Platform,HP-UX Operating System,,-
Hybrid and Multicloud,Server & Platform,IBM AIX Operating System,,-
Hybrid and Multicloud,Server & Platform,IBM NIM Server,,
Hybrid and Multicloud,Server & Platform,iSeries Business Continuity,Save/Restore ,
Hybrid and Multicloud,Server & Platform,iSeries Business Continuity,VTL with iSeries,
Hybrid and Multicloud,Server & Platform,iSeries High Availability,"HW - EMC Timefinder, IBM Flashcopy. IBM IASP's ",
Hybrid and Multicloud,Server & Platform,iSeries High Availability,SW - MIMIX/Vision,
Hybrid and Multicloud,Server & Platform,iSeries Operating System,"OS400, 3rd party SW, Tuning, problem resolution,security, audit, budget,vendor management Etc. ",
Hybrid and Multicloud,Server & Platform,iSeries Virtualization,VIOS/HyperV/HMC/LPAR,
Hybrid and Multicloud,Server & Platform,Linux Kickstart,Linux Bash,
Hybrid and Multicloud,Server & Platform,Linux Kickstart,Linux Bash Shell,
Hybrid and Multicloud,Server & Platform,Linux Operating System,Linux Security,
Hybrid and Multicloud,Server & Platform,Linux Operating System,Linux shell Scripting,
Hybrid and Multicloud,Server & Platform,Linux Operating System,Ubuntu Linux Server,
Hybrid and Multicloud,Server & Platform,Linux Operating System,Debian,-
Hybrid and Multicloud,Server & Platform,Mail Transfer Agents,"Postfix, Sendmail, Qmail, Exim",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,"3rd Party Backup Client Application Troubleshooting (TSM, Commvault, Symantec, etc.)",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,Core OS PowerShell and VBS Scripting,
Hybrid and Multicloud,Server & Platform,UNIX/ Linux File Server,"SMB, NFS, FTP, SFTP",
Hybrid and Multicloud,Server & Platform,UNIX/ Linux Printer Services,"CUPS, Printer Queue",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,File Services (SMB and NFS),
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,Print Services Core Functionality,
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,"High Availability - Clustering, NLB",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,"IIS (Web, SFTP and FTP) Core Functionality",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,"Patching (WSUS, SCCM, KACE)",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,"Setup (Firmware, Drivers, and Provisioning) (MDT, WDS)",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,"Systems Management and Deployment (KACE, SCCM, SCOM)",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,Terminal Services / RDP,
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,Windows Backup / Disaster Recovery,
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,"Windows Monitoring (KACE, Foglight, BCM, NetIQ, Solar Winds, etc)",
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,Windows Performance (PerfMon),
Hybrid and Multicloud,Server & Platform,Microsoft Server Core OS,WMI / WinRM / SNMP,
Hybrid and Multicloud,Server & Platform,Microsoft Server Operating System,"Legacy Versions (NT, 2000, 2003)",
Hybrid and Multicloud,Server & Platform,Microsoft Server Operating System,Server 2008 / 2008 R2,
Hybrid and Multicloud,Server & Platform,Microsoft Server Operating System ,Server 2012 / 2012 R2,
Hybrid and Multicloud,Server & Platform,Microsoft Server Operating System ,Server 2016 and beyond,
Hybrid and Multicloud,Server & Platform,Microsoft Server Operating System ,Operating System Administration,
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Networking,Access / RAS / NPS / NAP / VPN,
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Networking,Windows DHCP / WINS / IPAM Server / NLB,
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Security,Certificate Services,
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Security,"KMS, Bitlocker",
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Security,Windows Firewall,
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Security,"Security Audit Remediation (PCI, ROC, ISO, HIPPA, etc.)",
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Security,Server OS Hardening,
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Security,Microsoft Windows Server,
Hybrid and Multicloud,Server & Platform,Microsoft Server OS Security,Microsoft Windows Support,
Hybrid and Multicloud,Server & Platform,Novell Netware Operating System,,-
Hybrid and Multicloud,Server & Platform,OS Security,"Security Audit Remediation (PCI, ROC, ISO, HIPPA, etc.)",
Hybrid and Multicloud,Server & Platform,OS Security,Server Hardening,
Hybrid and Multicloud,Server & Platform,Red Hat Satelite Server,,
Hybrid and Multicloud,Server & Platform,Solaris Jumpstart,,
Hybrid and Multicloud,Server & Platform,Solaris Operating System,,-
Hybrid and Multicloud,Server & Platform,Server Architecture ,,
Hybrid and Multicloud,Server & Platform,junos  ,,
Hybrid and Multicloud,Server & Platform,Microsoft Exchange Server ,,
Hybrid and Multicloud,Server & Platform,UNIX Authentication,"NIS, Kerberos",
Hybrid and Multicloud,Server & Platform,UNIX Networking,"Networking, SNMP, DNS, DHCP, Bind",
Hybrid and Multicloud,Server & Platform,UNIX/ Linux Backup/ DR,UNIX Security,
Hybrid and Multicloud,Server & Platform,UNIX/ Linux High Availability ,HP M/C Service Guard,
Hybrid and Multicloud,Server & Platform,UNIX/ Linux High Availability ,IBM PowerHA/ HACMP,
Hybrid and Multicloud,Server & Platform,UNIX/ Linux High Availability ,Oracle Sun Cluster,
Hybrid and Multicloud,Server & Platform,UNIX/ Linux High Availability ,Red Hat Cluster Suite,
Hybrid and Multicloud,Server & Platform,UNIX/ Linux High Availability ,Veritas Cluster/ Geo Cluster,
Hybrid and Multicloud,Server & Platform,UNIX/ Linux Web server ,"Apache, Tomcat",
Hybrid and Multicloud,Server & Platform,UNIX/Linux OS Scripting,"Shell Scripting, Perl, PHP",
Hybrid and Multicloud,Server & Platform,Linux  ,Linux System Administration,
Hybrid and Multicloud,Server & Platform,Redhat ,RedHat,
Hybrid and Multicloud,Server & Platform,Microsoft ,Microsoft Server Administration,
Hybrid and Multicloud,Server & Platform,Microsoft ,Microsoft Server Operating Systems,
Hybrid and Multicloud,Server & Platform,Microsoft ,Microsoft Windows Server Platform,
Hybrid and Multicloud,Server & Platform,Server Management ,Server Administration,
Hybrid and Multicloud,Server & Platform,Server Management ,Server Configurations,
Hybrid and Multicloud,Server & Platform,Server Management ,Server Technologies,
Hybrid and Multicloud,Server & Platform,Server Management ,Server Hardware Configuration,
Hybrid and Multicloud,Server & Platform,Server Management ,Server Infrastructure,
Hybrid and Multicloud,Server & Platform,Server Management ,Server Installations,
Hybrid and Multicloud,Virtualization,Citrix,,
Hybrid and Multicloud,Virtualization,Citrix,Citrix Security (NetScaler),
Hybrid and Multicloud,Virtualization,Citrix,Desktop Virtualization (XenDesktop),
Hybrid and Multicloud,Virtualization,Citrix,Provisioning (PVS/MCS),
Hybrid and Multicloud,Virtualization,Citrix,Server Virtualization (XenServer),
Hybrid and Multicloud,Virtualization,Converged Infrastructure,Cisco UCS,
Hybrid and Multicloud,Virtualization,Converged Infrastructure,"Dell VRTX, FX2",
Hybrid and Multicloud,Virtualization,Converged Infrastructure,Nutanix,
Hybrid and Multicloud,Virtualization,Converged Infrastructure,VCE Vblock,
Hybrid and Multicloud,Virtualization,Converged Infrastructure,VMWare EVO Rail,
Hybrid and Multicloud,Virtualization,Converged Infrastructure,Virtual Infrastructure ,
Hybrid and Multicloud,Virtualization,Converged Infrastructure,VMware Converter,
Hybrid and Multicloud,Virtualization,Converged Infrastructure,Hyper Converged Infrastructure,
Hybrid and Multicloud,Virtualization,Converged Infrastructure,Nutanix Architecture,
Hybrid and Multicloud,Virtualization,IBM Server Virtualization,IBM PowerVM/ VIO,
Hybrid and Multicloud,Virtualization,Virtualization Management,Infrastructure Virtualization,
Hybrid and Multicloud,Virtualization,Linux Virtualization,"KVM, Xen",
Hybrid and Multicloud,Virtualization,Linux Virtualization,Red Hat Enterprise Virtualization,
Hybrid and Multicloud,Virtualization,Microsoft Server Virtualization,Application Virtualization (App-V),
Hybrid and Multicloud,Virtualization,Microsoft Server Virtualization,Desktop Virtualization (RDS),
Hybrid and Multicloud,Virtualization,Microsoft Server Virtualization,Hyper-V Powershell Scripting,
Hybrid and Multicloud,Virtualization,Microsoft Server Virtualization,SCVMM,
Hybrid and Multicloud,Virtualization,Microsoft Server Virtualization,Server Virtualization (Hyper-V),
Hybrid and Multicloud,Virtualization,Oracle Virtualization,Oracle Solaris Zones,
Hybrid and Multicloud,Virtualization,Oracle Virtualization,Oracle Virtual Manager,
Hybrid and Multicloud,Virtualization,VMware,Cloud Management (vRealize),
Hybrid and Multicloud,Virtualization,VMware,Cloud/ Virtualization (vCloud),
Hybrid and Multicloud,Virtualization,VMware,Desktop Virtualization (Horizon (VDI),
Hybrid and Multicloud,Virtualization,VMware,Network Virtualization (NSX),
Hybrid and Multicloud,Virtualization,VMware,"Server Virtualization (ESX, ESXi)",
Hybrid and Multicloud,Virtualization,VMware,Storage Virtualization (Virtual SAN),
Hybrid and Multicloud,Virtualization,VMware,"vCenter (Provision, Troubleshoot, Resource Mgmt)",
Hybrid and Multicloud,Virtualization,VMware,Vmware vSphereHypervisor,
Hybrid and Multicloud,Virtualization,VMware,VMWare vSphereHypervisor,
Hybrid and Multicloud,Virtualization,VMware,VMWare VDI,
Hybrid and Multicloud,Virtualization,VMware,VMware Cloud Foundation ,
Hybrid and Multicloud,Virtualization,VMware,VMware NSX,
Hybrid and Multicloud,Virtualization,VMware,VMware View ,
Hybrid and Multicloud,Virtualization,VMware,VMware VMotion ,
Hybrid and Multicloud,Virtualization,VMware,VMware ESX vSphere,
Hybrid and Multicloud,Virtualization,VMware,VMware HA,
Hybrid and Multicloud,Virtualization,VMware,VMware Software Manager,
Hybrid and Multicloud,Virtualization,VMware,VMware vCenter Configuration Manager,
Hybrid and Multicloud,Virtualization,VMware,VMware vCenter Operations Manager,
Hybrid and Multicloud,Virtualization,VMware,VMware Virtual Infrastructure,
Hybrid and Multicloud,Virtualization,VMware,VMware vRealize Automation (vRA),
Hybrid and Multicloud,Virtualization,VMware,VMware vSAN,
Hybrid and Multicloud,Virtualization,VMware,VMware vShield,
Hybrid and Multicloud,Virtualization,VMware,VMware vSphere Storage Appliance (VSA),
Hybrid and Multicloud,Virtualization,VMware,VMware vSphere With Operations Management,
Hybrid and Multicloud,Virtualization,Data Center,Data Center Virtualization ,
Hybrid and Multicloud,Virtualization,Data Center,Data Center Hosting,
Hybrid and Multicloud,Virtualization,Data Center,Data Center Automation,
Hybrid and Multicloud,Virtualization,Data Center,Data Center Cooling,
Hybrid and Multicloud,Virtualization,Data Center,Data Center Operations,
Hybrid and Multicloud,Virtualization,Desktop,Desktop Virtualization,
Hybrid and Multicloud,Data ,Data Protection ,Veeam Backup and Replication,
Hybrid and Multicloud,Data ,Database Management,configuration database management,
Hybrid and Multicloud,Data ,Database Management,Micro Focus Universal Configuration Management Database (UCMDB),
Hybrid and Multicloud,Data ,Database Management,Database Systems ,
Hybrid and Multicloud,Data ,Data Analysis,Comm Vault,
Hybrid and Multicloud,Data ,Data Analysis,Dashboard Reporting ,
Hybrid and Multicloud,Data ,Data Analysis,Data Science ,
Hybrid and Multicloud,Data ,Data Analysis,Trend Analysis ,
Hybrid and Multicloud,Data ,Data Analysis,Statical Data Analysis ,
Hybrid and Multicloud,Data ,Data Storage & Management,NetApp,
Hybrid and Multicloud,Data ,Data Storage & Management,VERITAS NetBackup,
Hybrid and Multicloud,Data ,Data Storage & Management,Object Storage,
Hybrid and Multicloud,Data ,Data Storage & Management,Server Storage ,
Hybrid and Multicloud,Data ,Data Storage & Management,Colocation,
Hybrid and Multicloud,Data ,Data Storage & Management,Data Center Architecture,
Hybrid and Multicloud,Data ,Data Storage & Management,Data Storage System,
Hybrid and Multicloud,Data ,Data Storage & Management,EMC Data Domain ,
Hybrid and Multicloud,Data ,Data Storage & Processing,Data Lake,
Hybrid and Multicloud,Data ,Data Storage & Processing,Data Mapping,
Hybrid and Multicloud,Data ,Data Center,Data Center Monitoring,
Hybrid and Multicloud,Data ,Data Center,Data Center Optimisation,
Hybrid and Multicloud,Data ,Data Center,Data Center Strategy,
Hybrid and Multicloud,Data ,Data Center,Data Center Projects,
Hybrid and Multicloud,Data ,Data Center,Data Center Support,
Hybrid and Multicloud,Data ,Data Center,Data Center Technology ,
Hybrid and Multicloud,Data ,Data Center,Modular Data Center,
Hybrid and Multicloud,Software Development ,API Programming ,RestFul Api,
Hybrid and Multicloud,Data Protection,Veritas,Veritas NetBackup,
Hybrid and Multicloud,Data Protection,Veritas,Veritas BackupExec,
Hybrid and Multicloud,Data Protection,Veritas,Ops Center Reporting,
Hybrid and Multicloud,Data Protection,Veritas,Veritas NetBackup Appliances,
Hybrid and Multicloud,Data Protection,IBM,Tivoli Storage Manager,
Hybrid and Multicloud,Data Protection,IBM,TSM for Virtual Environment,
Hybrid and Multicloud,Data Protection,IBM,IBM Spectrum Protect,
Hybrid and Multicloud,Data Protection,IBM,Tivoli Data Protection,
Hybrid and Multicloud,Data Protection,IBM,"IBM 3584, 3576, 3582, ",
Hybrid and Multicloud,Data Protection,IBM,Operational Reporting,
Hybrid and Multicloud,Data Protection,EMC,EMC Avamar,
Hybrid and Multicloud,Data Protection,EMC,DPA,
Hybrid and Multicloud,Data Protection,EMC,EMC NetWorker,
Hybrid and Multicloud,Data Protection,Simpana ,CommVault,
Hybrid and Multicloud,Data Protection,Simpana ,Intelli Snapshot Management,
Hybrid and Multicloud,Data Protection,Simpana ,Continuous Data Replication ,
Hybrid and Multicloud,Data Protection,Simpana ,CommNet,
Hybrid and Multicloud,Data Protection,Next Genration,CommVault,
Hybrid and Multicloud,Data Protection,Quantum,Scalar iSeries,
Hybrid and Multicloud,Data Protection,HP ,MSL Tape Libraries,
Hybrid and Multicloud,Data Protection,Dell ,Tape Library,
Hybrid and Multicloud,Data Protection,Dell ,NetVault,
Hybrid and Multicloud,Database Administration,Oracle,"Knowledge of Linux/Unix, Windows OS , Shell Scripting,Installation,Configuration,Upgrades/Patches,DDL Composition, Execution,and Data Modeling,PL/SQL Review and Composition,Data Guard/Failover,Disaster Recovery Design/Execution,ASM Administration,Backup and Recovery,Oracle Enterprise Manager/Grid Control,Backup Encryption,Data Partitioning,Database Masking,Database Vault,Exadata,Auditing,Security Administration,Encryption via TDE/Wallet,Hadoop Integration,In-Memory Database / TimesTen,Oracle Fail Safe,Oracle Multi-Tenancy/Pluggable Databases.",
Hybrid and Multicloud,Database Administration,Oracle,"Real Application Cluster,O/S Clustering, Harton works",
Hybrid and Multicloud,Database Administration,Microsoft SQL Server,"Knowledge of Windows Server O/S,Installation,Configuration,Upgrades/Patch management,DDL composition, execution,T-SQL review and composition and data modeling Backup and recovery,Bulk Copy,Auditing,Policy Management,Disaster Recovery Design/Execution,SQL Server Reporting Services (SSIS),SQL Server Integration Services (SSRS),SQL Server Analysis Services (SSAS),SQL Server Migration Assitant (SSMS),Data Compression,Data Partioning,Transparent Data Encryption (TDE),Powershell Scripting,Azure Development and management.",
Hybrid and Multicloud,Database Administration,Microsoft SQL Server,"Database Clustering,Replication,Log Shipping,Mirroring.",
Hybrid and Multicloud,Database Administration,SAP/Sybase,"Knowledge of Windows Server O/S,Unix/Linux,Shell Scripting,DDL composition, execution,and data modeling,Transact-SQL review and composition,Adminsitration ,Troubleshooting and Performance Tuning,Replication,
Replication with multi-site availability,SAP/Sybase ASE Cluster Edition Implemetation in O/S cluster technologies ,HANA administration,Semantic data partitioning,
Encryption ,SAP/Sybase IQ,Hadoop Integration,In-memory database option ",
Hybrid and Multicloud,Database Administration,DB2,"Windows Server O/S,Administration,troubleshooting and problem determination, Unix / Linux ,Shell scripting 
Migration,Backup and recovery,DDL composition, execution,and data modeling SQL review and composition, DML,Operational Analytics System (PDOA) IBM Smart Analytics Disaster Recovery Design/Execution
",
Hybrid and Multicloud,Database Administration,DB2," High-Availability (HADR )and Replication (Q,SQL Replication) O/S Clustering (HACMP) IBM PureScale.",
Hybrid and Multicloud,Database Administration,MYSQL,"Unix / Linux Skills,Shell Scripting,Windows Skills,Installation,Upgrades/Patches,DDL composition, execution,and data modeling SQL review and composition, DML 
Disaster Recovery Design/Execution ,Backup and Recovery ,Performance Tuning/Troubleshooting,Encription,Auditing ,Secutiry Administration.",
Hybrid and Multicloud,Database Administration,MYSQL,"MySQL Fabric,MySQL Replication,Galera Cluster,MySQL Cluster. SQL Server Installation ",
Hybrid and Multicloud,Database Administration,Cache,"Database administration ,Troubleshooting and problem determination,Backup and recovery,Unix / Linux ,Windows Server O/S,Disaster Recovery Design/Execution ,High Availability",
Hybrid and Multicloud,Database Administration,Informix,"Windows Skills,Unix/ Linux Skills Shell Scripting,Installation Upgrades/Patches,OS Level Storage Management,Data Partitioning,Encryption,Disaster Recovery Design/Execution,Backup and Recovery,Database Administration,Performance Tuning/Troubleshooting,Auditing,Security Administration
",
Hybrid and Multicloud,Database Administration,Database Management & Administration ,"High Availability,Enterprise Replication,High Availability Data Replication",
Hybrid and Multicloud,Database Administration,Database Management & Administration ,NoSQL,
Accounts,Accounting,Account Payable Management,Account Payable Process,
Accounts,Accounting,Account Payable Management,Invoices ,
Accounts,Accounting,Account Payable Management,Invoices Approval ,
Accounts,Accounting,Account Payable Management,Invoice Payments,
Accounts,Accounting,Account Payable Management,Invoice Processing,
Accounts,Accounting,Account Payable Management,Accounting Payroll,
Accounts,Accounting,Account Receivable Management ,Accounts Receivable,
Accounts,Accounting,Account Receivable Management ,Accounts Receivable Analysis,
Accounts,Accounting,Account Receivable Management ,Accounts Receivable Collections,
Accounts,Accounting,Accounts Management,Renewal,
Accounts,Accounting,Account Management,Accountability,
Accounts,Accounting,Account Management,Accounting Journal Entries,
Accounts,Accounting,Account Management,Accounting Research,
Accounts,Accounting,Account Management,Accounting Processes,
Accounts,Accounting,Account Reconciliation,Accounting Reconciliation,
Accounts,Accounting,Account Reconciliation,Account Business Development,
Accounts,Accounting,Fixed Asset Management ,Fixed Asset Accounting ,
Accounts,Accounting,Statistics Data,Statistical Data Analysis,
Finance,Tax Management,Taxation Software Configuration & Administration,Taxation Software,
Finance,Tax Compliance,Tax Planning,Taxes,
Finance,Disbursement,Commission Management,Commissions,
Finance,General Ledger Techniques ,Financial Reconciliation,General Ledger Reconciliations,
Finance,Financial Planning and Analysis,Budgeting and Forecasting,Financial Management,
Finance,Financial Planning and Analysis,Budgeting and Forecasting,Financial Analysis,
Finance,Financial Planning and Analysis,Budgeting and Forecasting,Budget Management,
Finance,Financial Planning and Analysis,Financial Data Analysis ,Financial Data ,
Finance,Financial Planning and Analysis,Financial Data Analysis ,Financial Project Management,
Finance,Transaction Processing,Payment Processing,Financial Processing,
Finance,Payroll Management,Payroll Processing,Payroll,
Finance,Credit Management,Collections Management,Debt collection ,
Finance,Banking Operations,Transaction Processing,Bank Deposits,
Finance,Banking Operations,Transaction Processing,Bank Reconciliations,
Administrative,Project Management ,Administrative Operations,Administrative Project Management,
Administrative,Document Management,Electronic Document Organisation,Electronic Filing,
Administrative,Safety Complainance,Implementing Safety Standards & Regulations,Safety Standards,
Administrative,Operation & Management ,System Configuration & Maintance ,System Administration,
Administrative,Operation & Management ,System Configuration & Maintance ,Computer Systems,
Administrative,Operation & Management ,Software Maintance ,Software Implementation ,
Administrative,Operation & Management ,Software Maintance ,Maintainance Contracts,
Administrative,Operation & Management ,Software Maintance ,Software Installations ,
Administrative,Operation & Management ,Administration,Office Administration,
Administrative,Operation & Management ,Administration,Personnel Actions,
Administrative,Operation & Management ,Administration,Personnel Administration,
Administrative,Operation & Management ,Administration,System Implementation,
Administrative,Operation & Management ,Administration,Contract Administration,
Administrative,Desktop Infrastructure ,Desktop Configuration & Administration,Desktop Computers,
Administrative,Desktop Infrastructure ,Desktop Configuration & Administration,Business Systems Integration,
Administrative,Peripheral Device Management,Printer Configuration & Administration,Printers,
Administrative,Peripheral Device Management,Printer Configuration & Administration,Print Server,
Administrative,Peripheral Device Management,Printer Configuration & Administration,Printer Support ,
Business,Strategy Development,Strategy Planning & Execution,InformationTechnology Strategies,
Business,Strategy Development,Strategy Planning & Execution,Business Proof Design,
Business,Strategy Development,Strategy Planning & Execution,Business Support Systems,
Business,Performance Management ,Business Management,Quarterly Business Reviews,
Business,Product Management,Technical Product Strategy,Technical Product Management,
Business,Project Management,Collaboration Strategies,Cross-Team Collaboration,
Business,Project Management,Project Execution,Executing Project ,
Business,Project Management,Developing and Implementing ,Action Planning ,
Business,Project Management,Organisation,Visual Management,
Business,Project Management,Organisation,Release Management,
Business,Project Management,Organisation,Exchange Server Administration,
Business,Project Management,Organisation,Enterprise System Administration,
Business,Project Management,Organisation,Organizational Changes,
Business,Project Management,Organisation,Organizational Implementation,
Business,Project Management,Organisation,Organizational Improvement,
Business,Project Management,Organisation,Organizational Strategy,
Business,Business Management,Product Development Strategy,Product Implementation,
Business,Business Management,Product Development Strategy,Product Management,
Business,Business Management,Product Development Strategy,Product Owndership,
Business,Business Management,Product Development Strategy,Information Technology Strategy,
Business,Business Management,Product Development Strategy,Software Rollouts ,
Business,Project Management,Project Planning ,Site Inspection,
Business,Project Management,Project Planning ,Project Structuring ,
Business,Project Management,Project Planning ,Handovers ,
Business,Project Management,Project Planning ,Resource Planning ,
Business,Project Management,Project Planning ,Resource Management,
Business,Project Management,Project Planning ,Organizing ,
Business,Project Management,Project Planning ,Event Planning ,
Business,Project Management,Project Planning ,Program Management,
Business,Project Management,Project Planning ,Project Management Lifecycle,
Business,Project Management,Project Planning ,Cross Functional Project Management,
Business,Project Management,Project Planning ,Information Systems Project Management ,
Business,Project Management,Project Planning ,Microsoft Project ,
Business,Project Management,Project Planning ,Customer Project Management,
Business,Project Management,Project Engineering ,Project Engineering  Managament ,
Business,Project Management,Project Engineering ,Approval Processes,
Business,Project Management,Scrum Masters,Agile,
Business,Project Management,Scrum Masters,Agile Methodology,
Business,Project Management,Scrum Masters,Agile Product Ownership,
Business,Project Management,Scrum Masters,Scrum Software Development,
Business,Project Management,Scrum Masters,Kanban,
Business,Project Management,Scrum Masters,Kanban Systems ,
Business,Project Management,Requirments Management ,Project Requirements ,
Business,Project Management,Requirments Management ,Supplier Sourcing,
Business,Project Management,Requirments Management ,Trade Compliance,
Business,Project Management,Requirments Management ,Demonstrations,
Business,Project Management,Stakeholder Engagement,Stakeholder Management,
Business,Project Management,Governance,Project Management Governance,
Business,Project Management,Governance,Project Controls,
Business,Project Management,Governance,Project Management Tools,
Business,Project Management,Governance,IT Project Leadership ,
Business,Project Management,Cost Management ,Cost Saving Projects ,
Business,Project Management,Cost Management ,Cost Savings ,
Business,Project Management,Cost Management ,Cost Reduction ,
Business,Project Management,Cost Management ,Operating Cost Reduction ,
Business,Project Management,Cost Management ,Cost Projections,
Business,Project Management,Cost Management ,Pricing Negotiations,
Business,Business Management,Enterprise Infrastructure Design,Enterprise Infrastructure,
Business,Business Management,Business Growth Strategy,Business Development,
Business,Business Management,Business Growth Strategy,Consulting,
Business,Business Management,Business Development,Business to Business Sales,
Business,Business Management,Process Improvement ,Business Process Development,
Business,Business Management,Information Management,Information Management Strategy,
Business,Business Management,Long-Term Goal Setting & Execution,Long Term Planning,
Business,Business Management,Law,Legal Research,
Business,Business Management,Law,Legal Support,
Business,Business Management,Business Strategy & Sales,Service Business Development,
Business,Business Management,Business Strategy & Sales,Sales Order  ,
Business,Business Management,Business Strategy & Sales,Sales Support,
Business,Business Management,Business Strategy & Sales,Sales,
Business,Business Management,Business Strategy & Sales,Sales Order Management,
Business,Business Management,Business Strategy & Sales,Solutions Selling,
Business,Business Management,Business Strategy & Sales,Strategic Advisory,
Business,Business Management,Business Strategy & Sales,Strategic Business Consulting,
Business,Business Management,Business Strategy & Sales,Strategic Business Development,
Business,Business Management,Business Strategy & Sales,Strategic Control,
Business,Business Management,Business Strategy & Sales,Strategic Insights,
Business,Business Management,Business Strategy & Sales,Strategic Objectives,
Business,Business Management,Business Strategy & Sales,Strategic Policy,
Business,Business Management,Business Strategy & Sales,Strategic Program Management,
Business,Business Management,Business Strategy & Sales,Strategic Programs,
Business,Business Management,Business Strategy & Sales,Strategic Risk Management,
Business,Business Management,Business Strategy & Sales,Strategic Business Focus,
Business,Business Management,Business Strategy & Sales,Strategic Business Reviews,
Business,Business Management,Business Strategy & Sales,Strategic Business Solutions,
Business,Business Management,Business Strategy & Sales,Strategic Business Units,
Business,Business Management,Business Strategy & Sales,Strategic Initiative Management,
Business,Business Management,Business Strategy & Sales,Strategy Development,
Business,Business Management,Business Strategy & Sales,Strategic Thinking,
Business,Business Management,Business Strategy & Sales,Partnership Management,
Business,Business Management,Business Operations ,RFP Process,
Business,Business Management,Business Operations ,Issue Management,
Business,Business Management,Business Operations ,Purchasing Processes,
Business,Business Management,Business Operations ,Contract Management,
Business,Business Management,Business Operations ,Business Processes,
Business,Business Management,Business Operations ,Operational Excellence,
Business,Business Management,Business Operations ,Operational Processes,
Business,Business Management,Business Operations ,Operational Design Management,
Business,Business Management,Business Operations ,Operational Process Improvement,
Business,Business Management,Business Operations ,Organisational Processes,
Business,Business Management,Business Operations ,Asset Mangement ,
Business,Business Management,Business Operations ,Asset Tracking ,
Business,Business Management,Business Operations ,Business Analysis ,
Business,Business Management,Business Operations ,Enterprise Resource Planning ,
Business,Business Management,Business Operations ,Enterprise System Management Software ,
Business,Business Management,Business Operations ,Enterprise Systems ,
Business,Business Management,Business Operations ,Kaizen(continues Improvement) ,
Business,Business Management,Business Operations ,Lean Intiatives,
Business,Business Management,Business Operations ,Procedural Documentation ,
Business,Business Management,Business Operations ,Recovery Planning,
Business,Business Management,Business Operations ,Requisitions,
Business,Business Management,Business Operations ,OEM Management ,
Business,Business Management,Sales Engineering,Pre Sales Engineering,
Business,Business Management,Sales Engineering,Pre Sales Technical Consulting,
Business,Business Management,Sales Engineering,Pre Sales Technical Support,
Business,Business Management,Sales Engineering,Technology Pre Sales,
Business,Business Management,Sales Engineering,Corprote Sales Management,
Business,Business Management,Customer Insights,Customer Needs,
Business,Business Management,Customer Insights,Customer Engagement,
Business,Business Management,Customer Insights,External Customers,
Business,Business Management,Customer Insights,Customer Follow ups,
Business,Business Management,Customer Insights,Customer Experience,
Business,Business Management,Customer Insights,Customer Experience Mapping,
Business,Business Management,Customer Insights,Customer Experience Optimising,
Business,Business Management,Customer Insights,Customer Experience Strategy,
Business,Business Management,Customer Insights,Customer Experience Training,
Business,Business Management,Customer Insights,Customer Journey,
Business,Business Management,Customer Insights,Customer Success Management,
Business,Business Management,Customer Insights,Customer Portals ,
Business,Business Management,Customer Insights,Customer Quries ,
Business,Business Management,Customer Insights,Customer Relationship Management ,
Business,Business Management,Customer Insights,Customer Resource Management ,
Business,Business Management,Customer Insights,Customer Satisfaction,
Business,Business Management,Customer Insights,Customer Service Relationship Management,
Business,Business Management,Customer Insights,Contract Negotiations,
Business,Business Management,Customer Insights,Contracts,
Business,Business Management,Customer Insights,Contractual Obligations,
Business,Business Management,Customer Insights,Customer Success,
Business,Business Management,Customer Insights,Service offerings,
Business,Business Management,Customer Insights,Business Communications,
Human Resource,Performance Management,Team Building & Performance Management,People Management,
